Expand,Usual VoiceTraffic,ForecastVoice Traffic,Carriers
9,14.44,126.02,10
9,14.44,126.02,10
9,14.44,126.02,10
8,0.21,89.36,6
6,8.20,68.65,5
5,2.98,81.24,8
5,8.07,71.03,6
5,8.07,71.03,6
5,17.93,66.90,6
5,26.69,115.23,12
5,26.69,115.23,12
5,26.69,115.23,12
5,26.69,115.23,12
4,19.89,42.20,4
4,12.98,42.11,4
4,10.03,43.58,4
4,9.35,54.38,5
4,20.81,57.51,6
4,8.20,72.01,7
4,8.20,72.01,7
4,8.20,72.01,7
4,24.14,75.04,8
3,5.28,32.53,4
3,9.26,32.05,4
3,10.29,32.26,4
3,10.29,32.26,4
3,6.82,32.43,4
3,6.82,32.43,4
3,36.17,38.94,4
3,5.52,36.34,4
3,5.52,36.34,4
3,34.96,48.48,6
3,21.09,56.15,6
3,11.51,51.58,6
3,26.00,65.48,8
3,10.13,72.95,8
3,10.13,72.95,8
3,10.13,72.95,8
3,9.75,97.86,12
3,8.87,49.85,6
3,8.87,49.85,6
3,46.46,98.81,12
2,13.23,15.04,2
2,13.23,17.95,2
2,10.92,18.25,2
2,16.71,18.58,3
2,4.85,24.28,3
2,6.51,31.31,4
2,11.30,25.45,4
2,16.80,26.31,4
2,17.12,45.13,6
2,0.30,45.69,6
2,12.73,42.79,6
2,12.73,42.79,6
2,12.73,42.79,6
2,11.12,40.20,6
2,14.30,42.25,6
2,16.27,59.78,8
2,28.59,57.88,8
2,32.88,63.41,8
2,19.96,59.40,8
2,7.50,20.56,3
2,12.58,28.37,4
2,12.39,25.89,4
2,12.39,25.89,4
2,11.53,30.08,4
2,22.52,29.86,4
2,13.67,28.51,4
2,13.67,28.51,4
2,13.40,27.92,4
2,10.21,31.69,4
2,13.26,36.47,5
2,24.09,35.93,5
2,7.46,38.04,5
2,22.92,39.28,5
2,33.01,42.45,6
2,4.86,40.61,6
2,25.79,43.00,6
2,10.11,46.16,6
2,13.70,45.28,6
2,24.56,40.79,6
2,20.03,40.53,6
2,28.83,58.91,8
2,28.83,58.91,8
2,7.12,87.89,12
2,7.12,87.89,12
2,31.27,89.23,12
2,31.27,89.23,12
2,34.40,91.57,12
2,34.40,91.57,12
1,6.55,8.06,2
1,3.27,7.46,2
1,4.24,8.30,2
1,1.32,6.42,2
1,0.49,10.49,2
1,2.55,6.40,2
1,3.48,6.69,2
1,6.92,12.56,3
1,8.87,16.01,3
1,3.39,14.56,3
1,4.37,13.37,3
1,15.18,24.23,4
1,5.49,25.26,4
1,13.27,21.62,4
