HotSpot,ComparedLastYearVoiceGrowth,ComparedPHolidayVoiceGrowth,ComparedLastYearTrafficGrowth,ComparedPHolidayTrafficGrowth
从化花市,-0.0216,5.0685,0.534,1.7709
番禺花市,-0.302,-0.0401,0.2829,0.9309
越秀西湖花市,-0.2872,0.1258,0.8844,0.719
增城花市,-0.0487,0.2641,0.6546,0.6655
海珠花市,-0.466,-0.0106,0.7238,0.4059
黄埔花市,-0.4547,0.584,0.5443,0.2753
荔湾花市,-0.4181,0.196,0.4683,0.1761
白云花市,-0.6729,-0.6399,1.9559,0.1326
天河花市,-0.5255,-0.0363,1.3537,0.107
南沙花市,-0.3469,-0.4636,0.708,0.1062
花都花市,-0.3855,0.2163,0.0634,0.0974
番禺大岗镇花市,-0.2413,0.0556,0.4644,-0.1433
武广高铁,-0.4748,-0.4308,-0.7128,-0.0821
广州大道,-0.4013,-0.5116,-0.0511,-0.5066
花城大道,-0.3227,-0.5485,0.2436,-0.2172
临江大道,-0.4022,-0.6055,-0.3208,-0.5712
黄埔大道,-0.4514,-0.5356,0.5113,-0.4471
三元里黄石立交,-0.3504,-0.6215,0.6262,-0.5376
南方茶叶市场,-0.2548,-0.5985,,
荔城手机街,-0.3124,0.0816,-0.0278,-0.3487
派潭镇墟,-0.3028,0.1105,0.7771,0.5119
富鹏酒吧街,-0.5486,-0.0927,-0.2266,0.0732
从化新世纪广场,-0.3392,0.8278,1.1708,0.6733
富港东汇城,-0.1984,1.349,0.8481,0.1624
沙浦手机街,-0.3753,-0.4196,0.4766,-0.3037
欣荣宏广场,0.007,0.1638,1.1169,0.2643
东汇城,-0.2027,0.5798,1.9849,0.5844
金海岸城市广场,-0.25,0.0321,0.8831,0.224
解放北路商业圈,-0.4799,-0.4168,0.3669,-0.2134
狮岭商业路步行街,-0.3534,-0.326,-0.1766,-0.6211
大润发,-0.5053,0.2561,-0.1427,0.4531
太古汇,-0.4672,-0.247,0.4993,-0.029
秀全路商圈,-0.5619,0.1172,-0.2272,-0.1368
5号停机坪,-0.6426,-0.4681,0.3768,-0.3245
花都新世纪广场,-0.3379,-0.1743,0.3959,-0.0589
高德置地广场,-0.5967,-0.6469,0.2619,-0.2137
新塘广场、太阳城一带,-0.5086,-0.4577,0.3477,-0.4091
增城万达广场,-0.3601,-0.0605,1.0624,0.4314
挂绿广场,-0.2661,0.5979,0.3944,0.7684
环市东,-0.4619,-0.4558,0.032,-0.2611
花都商业路步行街,-0.5279,0.1142,,
沿江路酒吧街,-0.4407,-0.2784,6.752,0.0346
增城广场,-0.2584,0.1818,0.883,0.3544
番禺广场,-0.4809,-0.3079,0.6697,-0.19
白云万达广场,-0.4082,-0.4265,0.3925,-0.0481
中华广场,-0.5112,-0.4143,0.5437,-0.0419
北京路步行街,-0.2966,0.1844,0.8539,0.7015
上下九步行街,-0.367,-0.4488,0.5156,-0.3659
岗顶,-0.3849,-0.6779,0.6992,-0.5367
白鹅潭,-0.3524,-0.3118,0.7129,-0.3177
体育中心商业圈,-0.4878,-0.1588,1.6513,0.1787
增城正果广兴客运站,-0.2564,0.6024,1.3836,1.3836
永泰客运站,-0.6836,0.34,,
新塘新客运站,-0.3856,0.0789,2.3011,2.3011
东圃汽车客运站,-0.2522,0.064,0.8717,1.6582
新塘汽车站,-0.269,0.0716,-0.4787,-0.4787
从化汽车站,0.2551,0.0714,0.4917,0.4917
新塘客运站,-0.3913,0.0435,,
增城派潭汽车客运站,-0.3713,0.8132,,
黄埔汽车客运站,0.0876,0.0749,2.4497,2.4497
广园客运站,-0.3974,0.098,0.5903,0.3628
市桥汽车站,-0.2388,0.0507,-0.1919,0.3085
广铁货运站,-0.3556,-0.0459,0.9494,-0.0542
增城客运站,-0.4217,0.1853,0.4974,0.4974
芳村客运站,-0.4631,0.052,0.3783,0.4605
三元里客运站,-0.2699,-0.0034,0.6144,0.0642
增城市运输公司,-0.3811,0.0488,0.5332,0.5332
夏茅客运站,-0.3748,-0.1382,0.6932,-0.0023
广铁北站,-0.4172,-0.0821,1.9662,0.2056
番禺客运站,-0.3733,0.0494,1.0131,0.7518
花都长途客运站,-0.3541,0.2366,0.6574,0.6574
花都客运站,-0.3708,0.3293,,
莲花山客运港,-0.3246,0.0991,0.2454,0.2235
南沙新客运码头,0.0406,0.2012,0.2523,-0.1174
广州北站,-0.2875,0.4474,1.2371,1.2371
海珠客运站,-0.4229,-0.1024,0.5622,0.2627
省市客运站,-0.5058,0.2106,-0.041,0.812
滘口客运站,-0.4937,0.7063,0.8813,0.8722
天河客运站,-0.4791,0.5686,0.1486,0.3348
火车东站,-0.4357,0.1267,0.2612,0.7122
广州火车站,-0.341,0.2155,0.6545,0.2941
白云国际机场,-0.4283,0.0243,0.8202,0.1928
火车南站,-0.2907,1.0944,0.5106,0.5523
广澳高速,-0.6336,0.1307,,
官桥服务区,-0.2805,-0.0423,0.674,-0.0201
炭步服务区,-0.3485,-0.1328,0.4704,0.4704
沙埔服务区,-0.5676,-0.0233,,
河洞服务区,-0.3569,0.2627,1.959,1.959
赤沙服务区,-0.7317,-0.1827,-0.1158,-0.0026
潭州服务区,-0.0795,0.0035,-0.0906,-0.0848
街北高速,0.0372,0.6129,2.2044,2.2044
广珠西线,-0.4063,0.5782,0.4868,0.2099
机场高速北延线,-0.4225,0.0607,,
瓦窑岗服务区,-0.5935,0.3449,,
土华服务区,-0.1983,0.0464,0.312,0.7519
沙贝服务区,-0.4774,-0.0231,0.7037,0.004
广佛高速,-0.4933,-0.0208,0.4866,0.0269
广明高速,-0.4162,0.3748,,
广深沿江高速,-0.4792,-0.0202,-0.4297,-0.4297
肇花高速,-0.4126,-0.1717,-0.1999,-0.1999
珠三角环线高速,-0.3022,0.0697,0.7897,0.7897
